txn_id,market,shop_id,shop_subdivision,local_timestamp,amount,currency,payment_method,payment_ref,fiscal_seq
USA-0113-000015,USA,0113,US-NY,2026-03-12 13:45:00,42.27,USD,CASH,,
DEU-1533-000045,DEU,1533,DE-BE,2026-07-27 12:52:00,60.18,EUR,CARD,A2VL8JK0GU6AKS51,60419
NZL-0908-000041,NZL,0908,NZ-AUK,2026-12-28 13:16:00,110.32,NZD,CARD,YB6YBWULVZNXDTZ6,
NZL-0931-000021,NZL,0931,NZ-WGN,2026-11-19 14:53:00,102.75,NZD,CARD,7XQHMQDZN15U4PA5,
NZL-0908-000038,NZL,0908,NZ-AUK,2026-12-31 10:30:00,81.85,NZD,CARD,1QYR5F35P9M08G2K,
JPN-0785-000005,JPN,0785,JP-27,2026-05-09 13:07:00,3200,JPY,CASH,,
DEU-1501-000048,DEU,1501,DE-BY,2026-04-25 10:36:00,116.95,EUR,CARD,WZQA75EDA0Q9UNWA,88325
USA-0467-000024,USA,0467,US-WA,2026-08-22 15:57:00,90.14,USD,CASH,,
GBR-0501-000028,GBR,0501,GB-NIR,2026-09-10 15:23:00,56.13,GBP,CARD,ZHTP3RXYC67WDQ4V,
USA-0455-000036,USA,0455,US-CA,2026-07-30 14:12:00,58.71,USD,CASH,,
GBR-0388-000017,GBR,0388,GB-WLS,2026-02-11 10:57:00,38.59,GBP,CARD,Y3TXW2J9VWF1Z12A,
NZL-0944-000018,NZL,0944,NZ-CAN,2026-03-15 13:44:00,22.47,NZD,CARD,ARL3W4ANWH9Z6HD1,
FRA-1288-000027,FRA,1288,FR-69,2026-12-14 09:50:00,55.60,EUR,CARD,P2MJZ7T88J03H8H4,21069
FRA-1204-000026,FRA,1204,FR-75,2026-09-21 10:20:00,11.64,EUR,CARD,645613TTF9EFUP34,44183
NZL-0944-000019,NZL,0944,NZ-CAN,2026-12-10 17:20:00,103.08,NZD,CARD,H7P7MPWM6KC19Z3U,
GBR-0117-000026,GBR,0117,GB-ENG,2026-11-25 15:31:00,50.65,GBP,CASH,,
DEU-1501-000034,DEU,1501,DE-BY,2026-08-23 10:24:00,57.81,EUR,CASH,,88333
JPN-0785-000015,JPN,0785,JP-27,2026-05-15 14:41:00,12000,JPY,CARD,28SP751QWNGVQPRL,
USA-0455-000006,USA,0455,US-CA,2026-04-20 14:00:00,114.64,USD,CARD,AAC5FABHSXPNZW6F,
NZL-0908-000010,NZL,0908,NZ-AUK,2026-04-21 14:59:00,100.26,NZD,CARD,7TH1YCHQCR28G36P,
USA-0329-000007,USA,0329,US-TX,2026-06-27 13:49:00,68.54,USD,CARD,Q9VUYVD2V2NMJNLK,
NZL-0944-000033,NZL,0944,NZ-CAN,2026-06-24 15:15:00,31.86,NZD,CARD,Y1X3KETC55EZNYDE,
NZL-0931-000020,NZL,0931,NZ-WGN,2026-05-21 15:35:00,19.38,NZD,CASH,,
NZL-0908-000001,NZL,0908,NZ-AUK,2026-09-26 14:08:00,107.88,NZD,CARD,ABDGM5UD5TWHWKZ3,
DEU-1547-000005,DEU,1547,DE-HH,2026-06-03 12:29:00,116.01,EUR,CARD,JGQXLX8PRHSGT1B3,73907
GBR-0388-000004,GBR,0388,GB-WLS,2026-10-24 15:18:00,56.05,GBP,CARD,E0PNUMJQASXL7N53,
USA-0329-000040,USA,0329,US-TX,2026-08-25 13:47:00,34.54,USD,CARD,F2QCS5X70967KYLS,
DEU-1501-000024,DEU,1501,DE-BY,2026-08-29 15:29:00,75.77,EUR,CARD,668KAYZSKN3R0FN6,88334
NZL-0931-000006,NZL,0931,NZ-WGN,2026-09-18 17:42:00,36.23,NZD,CARD,RP7F7QFCHVD09GY8,
NZL-0931-000024,NZL,0931,NZ-WGN,2026-07-11 17:35:00,102.61,NZD,CARD,YRUHBQ5B81SFDCP2,
JPN-0771-000006,JPN,0771,JP-13,2026-10-29 09:13:00,2200,JPY,CARD,R6J3JTQ3BDH9V661,
USA-0113-000001,USA,0113,US-NY,2026-10-31 15:47:00,42.58,USD,CARD,46113MLT8VWFDGMB,
NZL-0944-000003,NZL,0944,NZ-CAN,2026-01-25 15:36:00,74.57,NZD,CARD,SQ6W1LRNGGAQXP8P,
JPN-0771-000029,JPN,0771,JP-13,2026-01-27 15:40:00,6500,JPY,CARD,22KS7TEXZE0B2PRL,
FRA-1204-000001,FRA,1204,FR-75,2026-03-28 14:30:00,41.52,EUR,CASH,,44171
GBR-0442-000015,GBR,0442,GB-SCT,2026-04-18 17:08:00,11.13,GBP,CARD,KY4GFKTAKLMG3APT,
USA-0467-000011,USA,0467,US-WA,2026-03-05 10:10:00,76.26,USD,CARD,S6DS00SJ6M55R0U1,
USA-0467-000005,USA,0467,US-WA,2026-10-11 12:55:00,66.94,USD,CARD,21MDEMT8X0252V1Z,
DEU-1501-000028,DEU,1501,DE-BY,2026-02-16 12:10:00,8.97,EUR,CARD,NUSG57XWN5PWT92G,88320
DEU-1533-000041,DEU,1533,DE-BE,2026-09-01 12:07:00,47.48,EUR,CARD,5ALJXW8ZF8B4N4GH,60422
USA-0329-000018,USA,0329,US-TX,2026-10-21 17:36:00,110.46,USD,CASH,,
FRA-1288-000012,FRA,1288,FR-69,2026-06-17 11:49:00,47.50,EUR,CARD,WDDM0N7AHQAE1P9M,21059
DEU-1533-000008,DEU,1533,DE-BE,2026-05-08 15:27:00,87.81,EUR,CARD,UX2BK2AQDMB1PKVJ,60411
NZL-0908-000031,NZL,0908,NZ-AUK,2026-06-11 14:19:00,84.15,NZD,CARD,8BM6NJJ2U84URUL4,
DEU-1533-000023,DEU,1533,DE-BE,2026-08-05 13:21:00,65.97,EUR,CASH,,60420
DEU-1533-000035,DEU,1533,DE-BE,2026-06-25 13:57:00,78.29,EUR,CARD,VVZXJU61PJB7G2NR,60416
USA-0467-000009,USA,0467,US-WA,2026-10-15 09:46:00,99.04,USD,CARD,HHX9QH5HQJK8ZB9J,
NZL-0931-000012,NZL,0931,NZ-WGN,2026-06-10 15:17:00,12.53,NZD,CASH,,
GBR-0388-000037,GBR,0388,GB-WLS,2026-03-18 17:47:00,21.61,GBP,CASH,,
NZL-0944-000027,NZL,0944,NZ-CAN,2026-06-03 14:57:00,26.16,NZD,CARD,MH854G9ZGUVTVT7L,
FRA-1288-000008,FRA,1288,FR-69,2026-03-19 17:03:00,74.36,EUR,CARD,1HWXAXKQBP9QXHRA,21054
FRA-1288-000009,FRA,1288,FR-69,2026-06-27 12:32:00,21.75,EUR,CARD,XF9LF9MKC5R9JSCE,21061
NZL-0931-000004,NZL,0931,NZ-WGN,2026-05-12 13:20:00,16.60,NZD,CASH,,
FRA-1204-000013,FRA,1204,FR-75,2026-06-21 10:18:00,50.46,EUR,CARD,KP51WTFGCWQD7PGB,44177
NZL-0931-000005,NZL,0931,NZ-WGN,2026-10-10 14:25:00,44.22,NZD,CARD,5FE6UF9SPN0P8R42,
GBR-0203-000021,GBR,0203,GB-ENG,2026-03-03 15:07:00,70.41,GBP,CASH,,
DEU-1533-000032,DEU,1533,DE-BE,2026-06-21 15:46:00,9.11,EUR,CARD,66JT2WU75EK0VK7R,60415
NZL-0908-000039,NZL,0908,NZ-AUK,2026-11-28 16:30:00,30.54,NZD,CARD,S105MFN63AUFKM7B,
USA-0467-000028,USA,0467,US-WA,2026-02-14 10:48:00,37.09,USD,CARD,GZ5Y6AR2TC3M7XM7,
USA-0113-000033,USA,0113,US-NY,2026-02-02 13:32:00,8.13,USD,CARD,2JZCD88Z90P84BXM,
DEU-1501-000021,DEU,1501,DE-BY,2026-08-19 14:01:00,21.86,EUR,CARD,ABCL5J4C0XYPY450,88332
USA-0455-000016,USA,0455,US-CA,2026-04-04 09:09:00,98.20,USD,CARD,ZR124W4B7214UNWU,
FRA-1288-000011,FRA,1288,FR-69,2026-01-21 14:44:00,45.81,EUR,CARD,BRBRDQKM0YKNJ9T1,21051
FRA-1288-000010,FRA,1288,FR-69,2026-03-22 15:37:00,76.51,EUR,CARD,U9HLEWE2VNS937GP,21055
JPN-0785-000012,JPN,0785,JP-27,2026-11-22 16:10:00,2200,JPY,CARD,3X4870AVN1MV9DSJ,
GBR-0501-000023,GBR,0501,GB-NIR,2026-05-29 15:24:00,110.35,GBP,CASH,,
FRA-1204-000025,FRA,1204,FR-75,2026-05-26 13:01:00,22.96,EUR,CARD,LKHA8VZ1R1QTZ972,44176
NZL-0931-000037,NZL,0931,NZ-WGN,2026-06-06 12:16:00,116.71,NZD,CARD,FNWYYYQLX2WZNP48,
GBR-0203-000009,GBR,0203,GB-ENG,2026-03-16 13:09:00,101.88,GBP,CARD,V9S0VNDNXDK24LZ5,
NZL-0944-000007,NZL,0944,NZ-CAN,2026-01-04 13:16:00,74.57,NZD,CARD,8JQ8Q0525QKE6WE7,
FRA-1288-000035,FRA,1288,FR-69,2026-10-11 09:26:00,33.68,EUR,CARD,TJN0WQ1TVUWZ4UEV,21067
NZL-0908-000014,NZL,0908,NZ-AUK,2026-05-03 10:54:00,24.32,NZD,CASH,,
USA-0329-000035,USA,0329,US-TX,2026-07-09 13:12:00,43.92,USD,CARD,A84ESUEELK2G2Q7B,
GBR-0203-000030,GBR,0203,GB-ENG,2026-05-27 12:36:00,80.36,GBP,CARD,83TD9TKGBGQYX6XT,
GBR-0501-000008,GBR,0501,GB-NIR,2026-03-16 13:02:00,86.93,GBP,CASH,,
JPN-0771-000021,JPN,0771,JP-13,2026-12-01 12:25:00,1450,JPY,CARD,LZP24532J5BTUZCF,
NZL-0908-000015,NZL,0908,NZ-AUK,2026-11-15 15:15:00,85.16,NZD,CARD,710KMDF47PU3JND9,
NZL-0931-000030,NZL,0931,NZ-WGN,2026-03-14 13:24:00,101.60,NZD,CARD,W46JU5V8B11V1B65,
GBR-0442-000002,GBR,0442,GB-SCT,2026-03-28 16:05:00,56.64,GBP,CARD,07KKJTG8HR5VFPYN,
USA-0455-000010,USA,0455,US-CA,2026-06-10 10:08:00,42.22,USD,CARD,XPL291P2X5SLEC1P,
FRA-1204-000036,FRA,1204,FR-75,2026-10-31 14:07:00,27.75,EUR,CARD,9GLV1CUA2F1RP187,44186
NZL-0944-000040,NZL,0944,NZ-CAN,2026-05-29 11:22:00,24.55,NZD,CARD,FSUM2XPQ7QMENBUJ,
JPN-0771-000030,JPN,0771,JP-13,2026-10-24 17:33:00,12000,JPY,CARD,7C3HGMY4NBCVP1NF,
GBR-0203-000016,GBR,0203,GB-ENG,2026-07-03 09:18:00,49.21,GBP,CARD,KEM4JE0UGVN3LB6R,
FRA-1288-000024,FRA,1288,FR-69,2026-02-27 09:42:00,76.31,EUR,CARD,6CA9SHTX3RVB1RAM,21053
GBR-0388-000035,GBR,0388,GB-WLS,2026-08-20 14:25:00,70.44,GBP,CARD,MQHA15TMQ8AJ0PW3,
FRA-1204-000003,FRA,1204,FR-75,2026-10-25 02:30:00,98.23,EUR,CARD,W5LNJD0X3CQX3ETB,44184
DEU-1533-000014,DEU,1533,DE-BE,2026-10-26 10:51:00,61.06,EUR,CARD,XSY6VN2NLPK7NLHQ,60425
DEU-1501-000049,DEU,1501,DE-BY,2026-05-14 14:13:00,12.87,EUR,CARD,CZCUR57N8Y3EFUBV,88326
JPN-0771-000016,JPN,0771,JP-13,2026-12-24 12:29:00,6500,JPY,CASH,,
GBR-0117-000029,GBR,0117,GB-ENG,2026-06-10 09:32:00,113.22,GBP,CARD,VFGN1VPEHSN02UGJ,
FRA-1288-000023,FRA,1288,FR-69,2026-06-05 16:10:00,58.01,EUR,CASH,,21056
FRA-1204-000020,FRA,1204,FR-75,2026-01-28 14:03:00,83.17,EUR,CARD,529B17HBA8ZCZGXY,44170
GBR-0203-000013,GBR,0203,GB-ENG,2026-05-06 16:30:00,55.94,GBP,CASH,,
NZL-0944-000011,NZL,0944,NZ-CAN,2026-01-15 14:51:00,17.24,NZD,CARD,C65CRU4ECUTAUBHV,
JPN-0785-000019,JPN,0785,JP-27,2026-11-04 10:14:00,3200,JPY,CASH,,
FRA-1204-000005,FRA,1204,FR-75,2026-04-25 13:31:00,39.08,EUR,CARD,VA5C93KG33PRD9YE,44173
NZL-0944-000035,NZL,0944,NZ-CAN,2026-05-19 09:54:00,102.25,NZD,CARD,19N7DJ45118YT1L0,
DEU-1501-000044,DEU,1501,DE-BY,2026-03-11 13:16:00,116.40,EUR,CARD,2XL0JMLQ6Y2FZGZ5,88322
NZL-0931-000016,NZL,0931,NZ-WGN,2026-12-04 15:46:00,94.03,NZD,CARD,ZKSCBPBJL4HSQ741,
GBR-0442-000020,GBR,0442,GB-SCT,2026-04-14 12:04:00,67.22,GBP,CARD,0G5DRZ9XW2UFJ2NT,
DEU-1533-000040,DEU,1533,DE-BE,2026-11-27 17:06:00,117.85,EUR,CARD,1H9N8APUKXJTD2LP,60426
USA-0113-000031,USA,0113,US-NY,2026-04-23 15:22:00,84.66,USD,CASH,,
NZL-0908-000025,NZL,0908,NZ-AUK,2026-05-04 10:29:00,109.94,NZD,CARD,ZS090E5WESL59VBA,
NZL-0908-000002,NZL,0908,NZ-AUK,2026-01-25 15:30:00,116.75,NZD,CARD,PXG2ZZ8B8QXUUL78,
JPN-0785-000020,JPN,0785,JP-27,2026-02-23 10:09:00,2200,JPY,CARD,SXGBA195WV3Q57XT,
DEU-1547-000016,DEU,1547,DE-HH,2026-10-02 16:06:00,27.23,EUR,CARD,H2U4VG5VXVU72RPN,73909
USA-0329-000038,USA,0329,US-TX,2026-09-14 11:16:00,7.64,USD,CARD,TJ3J6H1XEXHJDJKH,
GBR-0203-000001,GBR,0203,GB-ENG,2026-03-28 14:22:00,53.24,GBP,CARD,9LSBQ417AKH21CH4,
FRA-1288-000021,FRA,1288,FR-69,2026-08-10 09:42:00,93.51,EUR,CARD,FP2BK853SYUVZ1MS,21063
FRA-1288-000007,FRA,1288,FR-69,2026-06-25 17:34:00,8.25,EUR,CARD,MK4D77D3HH8DAWDK,21060
DEU-1533-000043,DEU,1533,DE-BE,2026-03-03 12:05:00,46.80,EUR,CARD,MJJHF259ALVNG9WY,60410
FRA-1204-000041,FRA,1204,FR-75,2026-10-31 16:57:00,43.70,EUR,CARD,LVG3DFCET10PJLJK,44187
FRA-1288-000028,FRA,1288,FR-69,2026-08-24 11:26:00,104.10,EUR,CARD,MQ0CASKNZ3GTX36H,21065
DEU-1501-000018,DEU,1501,DE-BY,2026-03-27 16:19:00,43.29,EUR,CARD,58DFH2YKL6RVWYKK,88323
DEU-1533-000022,DEU,1533,DE-BE,2026-07-10 12:43:00,106.07,EUR,CARD,ZJU0BQW98ZN4DA3C,60418
FRA-1204-000014,FRA,1204,FR-75,2026-08-15 13:05:00,78.49,EUR,CARD,CES4F8V1759W62DA,44181
GBR-0442-000006,GBR,0442,GB-SCT,2026-10-25 01:30:00,79.53,GBP,CARD,25GH64DKNBNDMMUH,
FRA-1288-000037,FRA,1288,FR-69,2026-01-20 15:43:00,115.30,EUR,CARD,28CUSAFLQXTWV4ZX,21050
GBR-0388-000019,GBR,0388,GB-WLS,2026-01-03 09:56:00,80.70,GBP,CASH,,
GBR-0501-000014,GBR,0501,GB-NIR,2026-07-09 17:00:00,115.22,GBP,CARD,4R4XXPAGHAGRTC3D,
DEU-1547-000010,DEU,1547,DE-HH,2026-08-13 11:10:00,20.31,EUR,CARD,12D97KGMLPJT3H5M,73908
DEU-1547-000003,DEU,1547,DE-HH,2026-10-30 14:40:00,39.62,EUR,CARD,CF2G7S5RCBMZGNZL,73910
FRA-1288-000029,FRA,1288,FR-69,2026-09-18 16:13:00,55.73,EUR,CARD,20S8CHYDQZU0MHA8,21066
USA-0113-000004,USA,0113,US-NY,2026-04-02 16:41:00,24.70,USD,CASH,,
DEU-1501-000042,DEU,1501,DE-BY,2026-11-01 17:28:00,113.78,EUR,CARD,R1ZENKU5WD6K07MD,88336
USA-0455-000013,USA,0455,US-CA,2026-07-02 14:19:00,80.17,USD,CARD,FF45155VDDA4EZQ3,
NZL-0931-000036,NZL,0931,NZ-WGN,2026-04-03 09:52:00,43.19,NZD,CARD,5THDTW2S22MFBULM,
USA-0455-000017,USA,0455,US-CA,2026-09-27 10:28:00,39.27,USD,CARD,JS3TFJ8AGCJ71MVH,
GBR-0388-000032,GBR,0388,GB-WLS,2026-08-06 14:37:00,49.41,GBP,CARD,Y826AQ61NVYRD9DC,
GBR-0203-000005,GBR,0203,GB-ENG,2026-03-29 01:30:00,109.89,GBP,CARD,JDVP366W04M194P5,
NZL-0944-000023,NZL,0944,NZ-CAN,2026-08-21 11:53:00,97.14,NZD,CARD,X6S133LUPFQFGBWJ,
DEU-1501-000015,DEU,1501,DE-BY,2026-08-08 14:44:00,57.35,EUR,CARD,1NFRNM0ZYRU9K5B0,88331
JPN-0785-000028,JPN,0785,JP-27,2026-05-04 14:13:00,1450,JPY,CARD,R9KH15M9HEWAN72H,
FRA-1204-000018,FRA,1204,FR-75,2026-11-17 09:03:00,23.05,EUR,CARD,5EJFEL8GAB1760BE,44188
USA-0113-000030,USA,0113,US-NY,2026-02-03 14:49:00,53.56,USD,CARD,2W6THFE8L5AHGBU6,
USA-0113-000008,USA,0113,US-NY,2026-08-05 09:23:00,56.34,USD,CARD,A2QTN7JGRSCBEF0Q,
USA-0455-000002,USA,0455,US-CA,2026-03-07 10:25:00,28.84,USD,CARD,9WMEHXZDG0WM0SXA,
DEU-1533-000030,DEU,1533,DE-BE,2026-05-18 11:04:00,73.22,EUR,CARD,G2LXKEBC1M93TMJD,60412
DEU-1501-000047,DEU,1501,DE-BY,2026-05-15 11:41:00,78.08,EUR,CARD,W8X2ZU6B344SBWC1,88327
FRA-1288-000002,FRA,1288,FR-69,2026-10-24 12:11:00,41.63,EUR,CARD,SDG9PEMTHZ2B6BL3,21068
USA-0455-000037,USA,0455,US-CA,2026-08-23 11:23:00,87.63,USD,CARD,1VLEFMK8030YKA49,
DEU-1533-000002,DEU,1533,DE-BE,2026-06-03 12:22:00,64.74,EUR,CARD,G0VTY7WHWK2HKHR5,60414
NZL-0944-000032,NZL,0944,NZ-CAN,2026-04-16 09:50:00,83.13,NZD,CARD,JN726SDDQPGFV7LG,
USA-0455-000023,USA,0455,US-CA,2026-12-27 10:35:00,86.40,USD,CASH,,
FRA-1288-000016,FRA,1288,FR-69,2026-02-21 17:23:00,41.92,EUR,CARD,79VYH14EQZYHMCZ1,21052
DEU-1547-000029,DEU,1547,DE-HH,2026-04-16 16:19:00,11.23,EUR,CARD,UXZTT1Z79UJTV1JL,73906
USA-0455-000029,USA,0455,US-CA,2026-04-28 10:41:00,114.67,USD,CARD,ZA8DAXZ98TSR3062,
DEU-1547-000025,DEU,1547,DE-HH,2026-03-25 11:45:00,70.27,EUR,CASH,,73904
JPN-0785-000009,JPN,0785,JP-27,2026-11-13 09:34:00,980,JPY,CARD,K6MAY388FLJQEBJJ,
JPN-0785-000003,JPN,0785,JP-27,2026-10-15 14:35:00,3200,JPY,CARD,4DQ3L5B37XSEFZDY,
DEU-1533-000027,DEU,1533,DE-BE,2026-08-14 09:17:00,10.59,EUR,CARD,QW983VXZWTNCUSM4,60421
GBR-0203-000007,GBR,0203,GB-ENG,2026-10-25 01:30:00,8.96,GBP,CASH,,
FRA-1288-000015,FRA,1288,FR-69,2026-06-06 09:50:00,82.50,EUR,CARD,43B3SJG2P5KWX3GA,21058
JPN-0785-000013,JPN,0785,JP-27,2026-06-22 10:29:00,1450,JPY,CARD,B793R91DU7ML7EFX,
DEU-1533-000006,DEU,1533,DE-BE,2026-12-26 09:16:00,100.80,EUR,CARD,WA28DTTC5SD9RKZG,60427
JPN-0785-000018,JPN,0785,JP-27,2026-02-26 09:07:00,12000,JPY,CARD,QR5QTXCMC29L9S7B,
USA-0329-000003,USA,0329,US-TX,2026-04-02 16:33:00,100.33,USD,CARD,72FD228J3TG4Q8P6,
GBR-0501-000012,GBR,0501,GB-NIR,2026-08-07 14:59:00,27.98,GBP,CARD,WLV2G9JTBSKGSBNE,
FRA-1288-000017,FRA,1288,FR-69,2026-07-29 15:59:00,105.63,EUR,CASH,,21062
GBR-0501-000031,GBR,0501,GB-NIR,2026-06-19 15:27:00,17.78,GBP,CASH,,
DEU-1501-000009,DEU,1501,DE-BY,2026-03-09 13:34:00,6.81,EUR,CARD,K509YCKBDQK28ZR5,88321
USA-0113-000014,USA,0113,US-NY,2026-11-07 17:18:00,75.33,USD,CARD,ZYTJY8X30HMURZD7,
